API_ENDPOINT,TESTCASE,JSON_FILE,DESCRIPTION
get_projects_affiliate_conversions,testcase_001,testcase_001.json,"expected null value"
get_projects_affiliate_conversions,testcase_002,testcase_002.json,"expected null value"
get_projects_affiliate_conversions,testcase_003,testcase_003.json,"expected null value"
get_projects_affiliate_conversions,testcase_004,testcase_004.json,"expected null value"
get_projects_affiliate_conversions,testcase_005,testcase_005.json,"expected null value"
get_projects_affiliate_conversions,testcase_006,testcase_006.json,"expected null value"
get_projects_affiliate_conversions,testcase_007,testcase_007.json,"expected null value"
get_projects_affiliate_conversions,testcase_008,testcase_008.json,"expected null value"
get_projects_affiliate_conversions,testcase_009,testcase_009.json,"expected null value"
get_projects_affiliate_conversions,testcase_010,testcase_010.json,"expected null value"
get_projects_affiliate_conversions,testcase_011,testcase_011.json,"expected null value"
get_projects_affiliate_conversions,testcase_012,testcase_012.json,"expected null value"
get_projects_affiliate_conversions,testcase_013,testcase_013.json,"expected null value"
get_projects_affiliate_conversions,testcase_014,testcase_014.json,"expected null value"
get_projects_affiliate_conversions,testcase_015,testcase_015.json,"expected null value"
get_projects_affiliate_conversions,testcase_016,testcase_016.json,"expected null value"
get_projects_affiliate_conversions,testcase_017,testcase_017.json,"expected null value"
get_projects_affiliate_conversions,testcase_018,testcase_018.json,"expected null value"
get_projects_affiliate_conversions,testcase_019,testcase_019.json,"expected null value"
get_projects_affiliate_conversions,testcase_020,testcase_020.json,"expected null value"
get_projects_affiliate_conversions,testcase_021,testcase_021.json,"expected null value"
get_projects_affiliate_conversions,testcase_022,testcase_022.json,"expected null value"
get_projects_affiliate_projectid_conversions_unapproved,testcase_005,testcase_005.json,"is not integer: items[0].conversionId,is not integer: items[1].conversionId,is not integer: items[2].conversionId,is not integer: items[3].conversionId,is not integer: items[4].conversionId,is not integer: items[5].conversionId"
get_projects_affiliate_projectid_conversions_unapproved,testcase_019,testcase_019.json,"is not integer: items[0].conversionId,is not integer: items[1].conversionId,is not integer: items[2].conversionId,is not integer: items[3].conversionId,is not integer: items[4].conversionId,is not integer: items[5].conversionId"
get_projects_affiliate_projectid_conversions_unapproved,testcase_066,testcase_066.json,"is not integer: items[0].conversionId,is not integer: items[1].conversionId,is not integer: items[2].conversionId,is not integer: items[3].conversionId,is not integer: items[4].conversionId,is not integer: items[5].conversionId"
get_projects_affiliate_projectid_conversions_unapproved,testcase_071,testcase_071.json,"is not integer: items[0].conversionId,is not integer: items[1].conversionId,is not integer: items[2].conversionId,is not integer: items[3].conversionId,is not integer: items[4].conversionId,is not integer: items[5].conversionId"